Angstroms, e1, e2, n, k, Absorption 
4750, 5.448091e+00, 7.325525e+00, 2.699763e+00, 1.356698e+00, 3.240928e-02 
4760, 5.447957e+00, 7.325751e+00, 2.699760e+00, 1.356741e+00, 3.234329e-02 
4770, 5.447815e+00, 7.326049e+00, 2.699761e+00, 1.356796e+00, 3.227788e-02 
4780, 5.447666e+00, 7.326418e+00, 2.699766e+00, 1.356861e+00, 3.221305e-02 
4790, 5.447510e+00, 7.326858e+00, 2.699776e+00, 1.356938e+00, 3.214879e-02 
4800, 5.447347e+00, 7.327368e+00, 2.699790e+00, 1.357026e+00, 3.208510e-02 
4810, 5.447177e+00, 7.327948e+00, 2.699808e+00, 1.357124e+00, 3.202197e-02 
4820, 5.447001e+00, 7.328597e+00, 2.699830e+00, 1.357233e+00, 3.195939e-02 
4830, 5.446819e+00, 7.329314e+00, 2.699856e+00, 1.357353e+00, 3.189736e-02 
4840, 5.446631e+00, 7.330098e+00, 2.699887e+00, 1.357482e+00, 3.183587e-02 
4850, 5.446437e+00, 7.330950e+00, 2.699922e+00, 1.357623e+00, 3.177491e-02 
4860, 5.446237e+00, 7.331868e+00, 2.699960e+00, 1.357773e+00, 3.171448e-02 
4870, 5.446031e+00, 7.332851e+00, 2.700003e+00, 1.357934e+00, 3.165458e-02 
4880, 5.445820e+00, 7.333900e+00, 2.700050e+00, 1.358105e+00, 3.159519e-02 
4890, 5.445604e+00, 7.335012e+00, 2.700100e+00, 1.358285e+00, 3.153632e-02 
4900, 5.445382e+00, 7.336189e+00, 2.700155e+00, 1.358475e+00, 3.147795e-02 
4910, 5.445156e+00, 7.337429e+00, 2.700214e+00, 1.358676e+00, 3.142009e-02 
4920, 5.444925e+00, 7.338732e+00, 2.700277e+00, 1.358885e+00, 3.136272e-02 
4930, 5.444689e+00, 7.340097e+00, 2.700343e+00, 1.359104e+00, 3.130584e-02 
4940, 5.444449e+00, 7.341523e+00, 2.700414e+00, 1.359333e+00, 3.124944e-02 
4950, 5.444204e+00, 7.343011e+00, 2.700488e+00, 1.359571e+00, 3.119352e-02 
4960, 5.443956e+00, 7.344558e+00, 2.700567e+00, 1.359818e+00, 3.113808e-02 
4970, 5.443703e+00, 7.346166e+00, 2.700649e+00, 1.360074e+00, 3.108311e-02 
4980, 5.443447e+00, 7.347833e+00, 2.700735e+00, 1.360339e+00, 3.102860e-02 
4990, 5.443187e+00, 7.349559e+00, 2.700825e+00, 1.360614e+00, 3.097455e-02 
5000, 5.442923e+00, 7.351343e+00, 2.700919e+00, 1.360897e+00, 3.092095e-02 
5010, 5.442655e+00, 7.353184e+00, 2.701016e+00, 1.361188e+00, 3.086781e-02 
5020, 5.442385e+00, 7.355083e+00, 2.701118e+00, 1.361489e+00, 3.081511e-02 
5030, 5.442111e+00, 7.357039e+00, 2.701223e+00, 1.361798e+00, 3.076285e-02 
5040, 5.441835e+00, 7.359050e+00, 2.701332e+00, 1.362115e+00, 3.071102e-02 
5050, 5.441555e+00, 7.361118e+00, 2.701444e+00, 1.362441e+00, 3.065963e-02 
5060, 5.441273e+00, 7.363240e+00, 2.701561e+00, 1.362775e+00, 3.060866e-02 
5070, 5.440989e+00, 7.365417e+00, 2.701681e+00, 1.363118e+00, 3.055811e-02 
5080, 5.440702e+00, 7.367649e+00, 2.701804e+00, 1.363468e+00, 3.050798e-02 
